Résultat net de l'exercice après modifications comptables,,299 676,266 840
"",,Exercice,Exercice
"",Note,,
"",,2022,2021
"",,,
"",,,
ACTIVITE D'EXPLOITATION,,,
"",,,
Produits d’exploitation bancaire encaissés (hors revenu du portefeuille d’investissement),,1 635 731,1 363 804
Charges d’exploitation bancaire décaissées,,(621 888),(525 790)
"",,,
Dépôts / Retraits dépôts auprès d’autres établissements bancaires et financiers,,(312 022),116 455
"",,,
Prêts et avances / Remboursement prêts et avances accordés à la clientèle,,(490 001),(966 459)
"",,,
Dépôts / Retraits dépôts auprès de la clientèle,,1 032 238,1 462 413
"",,,
Sommes versées au personnel et créditeurs divers,,(388 937),(357 630)
"",,,
Autres flux de trésorerie provenant des activités d’exploitation,,20 758,10 192
"",,,
Impôts sur les sociétés,,(76 756),(70 387)
"",,,
Flux de trésorerie provenant des activités d’exploitation,,799 123,1 032 598
"",,,
"",,,
ACTIVITE D'INVESTISSEMENT,,,
"",,,
Intérêts et dividendes encaissés sur portefeuille d’investissement,,230 925,180 905
"",,,
Acquisitions / cessions sur portefeuille d’investissement,,(858 977),(765 220)
"",,,
Acquisitions / cessions sur immobilisations,,(60 013),(74 547)
"",,,
Flux de trésorerie net provenant des activités d’investissement,,(688 065),(658 862)
"",,,
"",,,
ACTIVITE DE FINANCEMENT,,,
"",,,
Emission / Remboursement d’emprunts,,238 150,103 027
"",,,
Augmentation / diminution ressources spéciales,,(6),16 669
Dividendes versés,,(185 640),(178 500)
"",,,
Flux de trésorerie net provenant des activités de financement,,52 504,(58 804)
"",,,
"",,,
Incidence des variations des taux de change sur les liquidités et équivalents de liquidités,IX-1,(38 809),(21 591)
Variation nette des liquidités et équivalents de liquidités au cours de l’exercice,,124 753,293 341
"",,,
"",,,
Liquidités et équivalents de liquidités en début d’exercice,,2 534 472,2 241 131
Liquidités et équivalents de liquidités en fin d’exercice,IX-2,2 659 225,2 534 472
Classe 2 – Actifs incertains,20%
Classe 3 – Actifs préoccupants,50%
Classe 4 – Actifs compromis,100%
"",31/12/2022,31/12/2021
Encaisses,176 020,158 677
"",,
Avoirs chez la BCT,179 764,1 231 427
"",,
Avoirs chez la CCP,88,89
"",,
"Total Caisse et avoirs auprès de la BCT, CCP et TGT",355 872,1 390 193
"",,31/12/2022,31/12/2021
Créances sur les établissements bancaires(a),,3 102 722,1 273 726
"",,,
Créances sur les établissements financiers(b),,342 884,312 084
"",,,
Total Créances sur les établissements bancaires et financiers,,3 445 606,1 585 810
"",31/12/2022,31/12/2021
Comptes de prêts à la BCT,2 174 113,629 913
"",,
Comptes de prêts du marché interbancaire,875 360,597 394
"",,
Créances rattachées sur prêts,6 125,399
"",,
Comptes correspondants NOSTRI,25 417,21 356
"",,
Comptes correspondants LORI,51,6 839
"",,
Créances rattachées sur comptes correspondants,42,2
"",,
Valeurs non imputées,21 614,17 823
"",,
Total,3 102 722,1 273 726
"",31/12/2022,31/12/2021
Crédits accordés aux sociétés de leasing,286 325,255 226
"",,
Crédits accordés aux autres établissements financiers,52 797,53 512
"",,
Créances et dettes rattachées,3 762,3 346
"",,
Total,342 884,312 084
"",,Plus,Plus d'un,,,
"",Jusqu’à 3,de 3 mois,an et,Plus de 5,Durée,
"",,,,,,31/12/2022
"",mois,et moins,moins de,ans,Indéterminée,
"",,d'un an,5 ans,,,
Créances sur les établissements bancaires,,,,,,
"",,,,,,
Comptes de prêts à la BCT,2 071 033,103 080,-,-,-,2 174 113
"",,,,,,
Comptes de prêts du marché interbancaire,740 799,134 561,-,-,-,875 360
Créances rattachées sur prêts,4 992,1 133,-,-,-,6 125
"",,,,,,
Comptes correspondants NOSTRI,-,-,-,-,25 417,25 417
Comptes correspondants LORI,-,-,-,-,51,51
"",,,,,,
Créances rattachées sur comptes correspondants,-,-,-,-,42,42
Valeurs non imputées,-,-,-,-,21 614,21 614
Total,2 816 824,238 774,-,-,47 124,3 102 722
Créances sur les établissements financiers,,,,,,
"",,,,,,
Crédits accordés aux sociétés de leasing,-,-,276 325,10 000,-,286 325
Crédits accordés aux autres établissements financiers,52 797,-,-,-,-,52 797
Créances et dettes rattachées,1 188,2 574,-,-,-,3 762
"",,,,,,
Total,53 985,2 574,276 325,10 000,-,342 884
Total Général,2 870 809,241 348,276 325,10 000,47 124,3 445 606
"",Entreprises,Entreprises,Co-,,
"",,,,Autres,31/12/2022
"",liées,associées,entreprises,,
Créances sur les établissements bancaires,,,,,
"",,,,,
Comptes de prêts à la BCT,-,-,-,2 174 113,2 174 113
"",,,,,
Comptes de prêts du marché interbancaire,-,-,-,875 360,875 360
"",,,,,
Créances rattachées sur prêts,-,-,-,6 125,6 125
"",,,,,
Comptes correspondants NOSTRI,-,-,-,25 417,25 417
"",,,,,
Comptes correspondants LORI,-,-,-,51,51
"",,,,,
Créances rattachées sur comptes correspondants,-,-,-,42,42
Valeurs non imputées,-,-,-,21 614,21 614
"",,,,,
Total,-,-,-,3 102 722,3 102 722
Créances sur les établissements financiers,,,,,
"",,,,,
Crédits accordés aux sociétés de leasing,-,-,-,286 325,286 325
"",,,,,
Crédits accordés aux autres établissements financiers,52 797,-,-,-,52 797
Créances et dettes rattachées,-,-,-,3 762,3 762
"",,,,,
Total,52 797,-,-,290 087,342 884
Total Général,52 797,-,-,3 392 809,3 445 606
"",,31/12/2022,31/12/2021
Comptes débiteurs de la clientèle,(1),1 042 051,1 051 532
"",,,
Autres crédits à la clientèle,(2),12 158 811,11 754 400
"",,,
Crédits sur ressources spéciales,(3),83 227,79 070
"",,,
Total,,13 284 089,12 885 002
Provisions sur crédits à la clientèle,,(434 089),(414 760)
"",,,
Agios réservés,,(195 318),(170 963)
"",,,
Provisions collectives,,(375 527),(161 244)
"",,,
Total Créances sur la clientèle,,12 279 155,12 138 035
"",31/12/2022,31/12/2021
Comptes débiteurs courants,976 019,965 975
"",,
Comptes débiteurs douteux,48 947,67 291
"",,
Avances sur dépôts à terme,16 550,17 829
"",,
Créances rattachées sur comptes de la clientèle,535,437
"",,
Total,1 042 051,1 051 532
"",,31/12/2022,31/12/2021
Autres concours courants,(a),11 372 625,11 015 406
Autres concours douteux,,786 186,738 994
"",,,
Total,,12 158 811,11 754 400
"",31/12/2022,31/12/2021
Crédits commerciaux et industriels,7 284 087,7 157 087
"Crédits immobiliers, promoteurs",72 405,66 067
"",,
"Crédits immobiliers, acquéreurs",3 275 083,3 138 446
"",,
Crédits agricoles,632 568,543 937
"",,
Compte courant associés,2 900,2 900
"",,
Portefeuille escompte,11 267 043,10 908 437
Valeurs non imputées,133,135
Créances rattachées sur autres concours courants,147 143,133 571
"",,
Créances rattachées sur compte courant associés,553,449
"",,
Intérêts perçus d'avance (en moins),(42 247),(27 186)
"",31/12/2022,31/12/2021
Crédits sur ressources spéciales courants,61 880,58 753
Créances rattachées sur crédits sur ressources,,
"",652,656
spéciales,,
Crédits sur ressources spéciales douteux,20 695,19 661
"",,
Total,83 227,79 070
"",31/12/2022,31/12/2021
Créances courantes hors engagements par signature,12 321 492,11 950 994
Valeurs non imputées,133,135
"",,
Créances rattachées,148 883,135 112
"",,
Intérêts perçus d'avance (en moins),(42 247),(27 186)
"",,
Total,12 428 261,12 059 055
Engagements par signature courants,2 699 428,2 592 007
Total,15 127 689,14 651 062
"",31/12/2022,31/12/2021
Créances douteuses hors engagements par signature,855 828,825 947
Engagements par signature douteux,25 886,26 180
Total,881 714,852 127
"",31/12/2022,31/12/2021
Agios réservés sur créances classées,183 663,163 021
Provisions pour créances classées du Bilan,432 413,414 760
"",,
Provisions sur engagements hors bilan,14 484,13 760
Total,630 560,591 541
"",31/12/2022,31/12/2021
Agios réservés sur créances non classées,11 655,7 942
Provision collective,375 527,161 244
"",,
Autres provisions,1 676,-
Total,388 858,169 186
"",31/12/2021,Dotation,Reprise,Rétrocession,31/12/2022
Provisions pour créances classées du Bilan,(414 760),(90 279),72 642,(16),(432 413)
Provision collective,(161 244),(214 283),-,-,(375 527)
"",,,,,
Autres provisions,-,(1 676),-,-,(1 676)
"",,,,,
Total,(576 004),(306 238),72 642,(16),(809 616)
"",,Concours,,,,,
"",,,,,Reprises et,Réservation,
"",31/12/2021,nets de,Dotations,,,,31/12/2022
"",,,,,Rétrocession,nette,
"",,l'exercice,,,,,
Créances brutes,825 947,29 881,-,,-,-,855 828
"",,,,,,,
Provisions,(414 760),-,(90 279),,72 626,-,(432 413)
"",,,,,,,
Agios réservés,(163 021),-,-,,-,(20 642),(183 663)
"",,,,,,,
Créances nettes,248 166,29 881,(90 279),,72 626,(20 642),239 754
"",,Plus,,,,
"",,,Plus d'un an et,,,
"",,de 3 mois et,,,Durée,
"",Jusqu’à 3 mois,,moins de 5,Plus de 5 ans,,31/12/2022
"",,moins d'un,,,Indéterminée,
"",,,ans,,,
"",,an,,,,
Créances sur la clientèle,,,,,,
"",,,,,,
Comptes débiteurs,4 229,12 280,447,-,1 025 095,1 042 051
"",,,,,,
Autres concours à la clientèle,3 068 160,808 715,4 162 362,3 402 289,717 285,12 158 811
"",,,,,,
Crédits sur ressources spéciales,489,825,13 707,47 763,20 443,83 227
Total,3 072 878,821 820,4 176 516,3 450 052,1 762 823,13 284 089
"",Entreprises,Entreprises,,,,,
"",,,,Co-entreprise,,Autres,31/12/2022
"",liées,associées,,,,,
Créances sur la clientèle,,,,,,,
"",,,,,,,
Comptes débiteurs,17 236,,-,,-,1 024 815,1 042 051
"",,,,,,,
Autres concours à la clientèle,57 439,,-,,-,12 101 372,12 158 811
"",,,,,,,
Crédits sur ressources spéciales,-,,-,,-,83 227,83 227
"",,,,,,,
Total,74 675,,-,,-,13 209 414,13 284 089
"",Non Eligible au,Eligible au,
"",,,31/12/2022
"",Refinancement BCT,Refinancement BCT,
Créances sur la clientèle,,,
"",,,
Comptes débiteurs,1 042 051,-,1 042 051
"",,,
Autres concours à la clientèle,10 641 326,1 517 485,12 158 811
"",,,
Crédits sur ressources spéciales,83 227,-,83 227
"",,,
Total,11 766 604,1 517 485,13 284 089
"",,31/12/2022,31/12/2021
Titres de transaction,(1),30 530,10 141
"",,,
Titres de placement,(2),4 304,4 304
"",,,
Total Portefeuille-titres commercial,,34 834,14 445
"",31/12/2022,31/12/2021
Encours brut des titres d'investissement,4 272 106,3 419 896
Créances rattachées sur titres d'investissements,93 904,68 459
"",,
Provisions et agios réservés pour dépréciation du portefeuille d’investissement,(75 940),(71 970)
Total Portefeuille d'investissement,4 290 070,3 416 385
"",Variation
Nouvelles acquisitions,719 676
Remboursement des Bons de Trésor d'investissements,(700 617)
"",
Cession ou perte sur titres de participation,(9 000)
"",
Souscription emprunt national 2014,690 000
"",
Remboursement des emprunts nationaux,(481)
"",
Libération des fonds gérés,180 000
"",
Rétrocession ou perte sur fonds gérés,(27 368)
"",
Dotation aux provisions sur titres d'investissement,(5 498)
Reprise de provisions sur titres d'investissement,2 510
Intérêts réservés sur fonds gérés,(852)
Intérêts réservés sur portage,(130)
Variation des créances rattachées et de la part de dividendes dont le droit est établi et non échu,25 445
Total,873 685
"",,,Parts dans les,Parts dans les,,,
"",Titres,Titres de,,,Fonds,Titres en,
Libellés,,,entreprises,entreprises,,,Total
"",d’investissement,participation,,,gérés,portage,
"",,,liées,associées,,,
Encours brut au 31/12/2021 hors,,,,,,,
"",2 261 778,122 866,352 564,20 300,661 188,1 200,3 419 896
créances rattachées,,,,,,,
Remboursement des Bons de Trésor,(700 617),-,-,-,-,-,(700 617)
Libérations et/ou acquisitions de l'année,,,,,,,
"",1 386 734,541,20 001,2 400,180 000,-,1 589 676
2022,,,,,,,
"Cessions, liquidations, pertes ou",,,,,,,
"",(481),(8 000),-,(1 000),(27 368),-,(36 849)
remboursements de l'année 2022,,,,,,,
Encours brut au 31/12/2022 hors,,,,,,,
"",2 947 414,115 407,372 565,21 700,813 820,1 200,4 272 106
créances rattachées,,,,,,,
Créances rattachées sur Bons de Trésor,61 665,-,-,-,-,-,61 665
Créances rattachées sur portefeuille,,,,,,,
"",21 771,2 610,-,-,6 281,1 577,32 239
d'investissements autres que les BTA,,,,,,,
Provisions et agios réservés pour,,,,,,,
"",-,(16 712),(30 558),(268),(26 236),(2 167),(75 940)
dépréciation du portefeuille d'investissement,,,,,,,
Total portefeuille d'investissements,3 030 850,101 305,342 007,21 432,793 865,610,4 290 070
"",31/12/2022,31/12/2021
Titre coté,478,478
Titre non coté,494 551,485 709
Titre OPCVM,15 843,10 743
Total,510 872,496 930
"",31/12/2022,31/12/2021
Immobilisations incorporelles,90 102,86 559
Amortissement des immobilisations incorporelles,(79 602),(75 235)
Immobilisations corporelles,475 747,452 642
Amortissements des immobilisations corporelles,(256 638),(238 104)
Immobilisations en cours et avances,27 562,19 383
Total Valeurs immobilisées,257 171,245 245
"",,,Cessions ou mise en,,
"",31/12/2021,Acquisitions,,Reclassements,31/12/2022
"",,,rebus,,
Licence,34 362,2 001,(35),565,36 893
Logiciels informatiques,47 355,22,-,990,48 367
Fonds de commerce et droit au bail,4 842,-,-,-,4 842
Total Immobilisations incorporelles,86 559,2 023,(35),1 555,90 102
Terrains,78 175,-,-,453,78 628
Constructions,111 272,-,-,91,111 363
"Agencement, aménagement des constructions",116 903,5 820,(18),4 417,127 122
Immeubles en attente d’affectation,164,-,-,-,164
Immobilisations à statut juridique particulier,345,-,-,-,345
Mobilier de bureaux,22 637,163,-,197,22 997
Matériel informatique,53 437,3 163,(181),2 775,59 194
Matériel de transport,1 774,423,(47),-,2 150
Constructions non affectées aux activités professionnelles,5 007,-,-,1 469,6 476
Installations générales des constructions,7 490,73,-,92,7 655
Matériel d’exploitation bancaire,29 356,3 180,-,-,32 536
"Agencement, aménagement du matériel d’exploitation",,,,,
"",54,-,-,-,54
bancaire,,,,,
Equipements de bureaux,14 222,203,(593),1 050,14 882
Agencement des équipements de bureaux,1 852,-,-,-,1 852
Agencement du mobilier de bureaux,9 954,293,(7),89,10 329
Total Immobilisations corporelles,452 642,13 318,(846),10 633,475 747
Travaux en cours,18 346,20 365,-,(12 186),26 525
Avances sur immobilisations en cours,1 037,-,-,-,1 037
Total Brut des valeurs immobilisées,558 584,35 706,(881),2,593 411
"",Amort.,,Régularisation,Amort.,VCN au
"",Cumulé,Dotation,Cession et,Cumulé,
"",31/12/2021,,mise en rebus,31/12/2022,31/12/2022
Licence,(29 244),(2 818),35,(32 027),4 866
Logiciels informatiques,(42 623),(1 442),-,(44 065),4 302
Fonds de commerce et droit au bail,(3 368),(142),-,(3 510),1 332
Total Immobilisations incorporelles,(75 235),(4 402),35,(79 602),10 500
Terrains,-,-,-,-,78 628
Constructions,(51 190),(3 160),-,(54 350),57 013
"Agencement, aménagement des constructions",(80 862),(6 934),18,(87 778),39 344
Immeubles en attente d’affectation,-,-,-,-,164
Immobilisations à statut juridique particulier,(341),-,-,(341),4
Mobilier de bureaux,(13 764),(1 436),-,(15 200),7 797
Matériel informatique,(43 539),(3 558),181,(46 916),12 278
Matériel de transport,(1 201),(216),47,(1 370),780
Constructions non affectées aux activités professionnelles,(124),(1),-,(125),6 351
Installations générales des constructions,(6 719),(126),-,(6 845),810
Matériel d’exploitation bancaire,(19 789),(2 777),-,(22 566),9 970
"Agencement, aménagement du matériel d’exploitation",,,,,
"",(38),(4),-,(42),12
bancaire,,,,,
Equipements de bureaux,(11 504),(609),550,(11 563),3 319
Agencement des équipements de bureaux,(1 646),(48),-,(1 694),158
"",Amort.,,Régularisation,Amort.,VCN au
"",Cumulé,Dotation,Cession et,Cumulé,
"",31/12/2021,,mise en rebus,31/12/2022,31/12/2022
Agencement du mobilier de bureaux,(7 228),(468),7,(7 689),2 640
Total Immobilisations corporelles,(237 945),(19 337),803,(256 479),219 268
Travaux en cours,-,-,-,-,26 525
Avances sur immobilisations en cours,-,-,-,-,1 037
Prov. Autres immobilisations corporelles,(159),-,-,(159),(159)
Total Brut des valeurs immobilisées,(313 339),(23 739),838,(336 240),257 171
"",31/12/2022,31/12/2021
Comptes de régularisation,106 045,96 672
Autres comptes d'actifs,346 271,343 088
"",,
Total Autres actifs,452 316,439 760
"",31/12/2022,31/12/2021
Débiteurs divers,316 257,319 943
Comptes de stocks,5 225,3 681
"",,
Charges à répartir,4 501,5 267
"",,
Frais d’études,20 288,14 197
"",,
Total Autres comptes d'actifs,346 271,343 088
"",,Cumul,,,Résorptions,,Cumul,
"",VB,,VCN au,Augme,,VB,,VCN au
"",,Résorptions,,,de l'exercice,,Résorptions,
"",31/12/2021,,31/12/2021,ntation,,31/12/2022,,31/12/2022
"",,31/12/2021,,,2022,,au 31/12/2022,
Charges à répartir,12 919,7 652,5 267,1 559,2 325,14 478,9 977,4 501
Total,12 919,7 652,5 267,1 559,2 325,14 478,9 977,4 501
"",31/12/2022,31/12/2021
Chèques BCT en attente de règlement,891,955
"",,
Comptes BCT en devises,-,258
"",,
Dettes rattachées des comptes BCT et CCP,7,-
"",,
Total Banque Centrale et CCP,898,1 213
"",31/12/2022,31/12/2021
Dépôts et avoirs des établissements bancaires,575 677,131 435
Dépôts des établissements financiers,48 812,92 690
"",,
Total Dépôts et avoirs des établissements bancaires et financiers,624 489,224 125
"",31/12/2022,31/12/2021
Emprunt en dinars auprès de la BCT,331 000,-
Emprunt en dinars auprès des banques,50 000,-
"",,
Dépôts des correspondants Banquiers,185 554,119 135
"",,
Autres sommes dues,8 715,12 298
"",,
Dettes rattachées,408,2
"",,
Dépôts et avoirs des établissements bancaires,575 677,131 435
"",,Plus,,,,
"",,,Plus d'un,,,
"",Jusqu’à 3,de 3 mois et,,Plus de 5,Durée,
"",,,an et moins,,,31/12/2022
"",mois,moins d'un,,ans,Indéterminée,
"",,,de 5 ans,,,
"",,an,,,,
Dépôts et avoirs des établissements bancaires,381 286,19 198,-,-,175 193,575 677
Emprunt en dinars auprès de la BCT,331 000,-,-,-,-,331 000
Emprunt en dinars auprès des banques,50 000,-,-,-,-,50 000
Dépôts des correspondants Banquiers,-,19 077,-,-,166 477,185 554
Autres sommes dues,-,-,-,-,8 715,8 715
"",,,,,,
Dettes rattachées,286,121,-,-,1,408
"",,,,,,
Dépôts et avoirs des établissements financiers,37 951,-,-,-,10 861,48 812
Dépôts des établissements financiers,37 951,-,-,-,10 861,48 812
Total,419 237,19 198,-,-,186 054,624 489
"",Entreprises,Entreprises,Co-,,
"",,,,Autres,31/12/2022
"",liées,associées,entreprise,,
Dépôts et avoirs des établissements bancaires,,,,,
"",,,,,
Emprunt en dinars auprès de la BCT,-,-,-,331 000,331 000
"",,,,,
Emprunt en dinars auprès des banques,-,-,-,50 000,50 000
"",,,,,
Dépôts des correspondants Banquiers,-,-,-,185 554,185 554
"",,,,,
Autres sommes dues,-,-,-,8 715,8 715
"",,,,,
Dettes rattachées,-,-,-,408,408
"",,,,,
Dépôts et avoirs des établissements financiers,,,,,
"",,,,,
Dépôts des établissements financiers,-,-,-,48 812,48 812
"",,,,,
Total,-,-,-,624 489,624 489
"",31/12/2022,31/12/2021
Dépôts à vue,8 876 899,7 966 445
Dépôts d’épargne,4 160 829,3 618 756
"",,
Comptes à échéance,2 815 058,3 151 658
"",,
Bons à échéance,280 986,314 916
"",,
Certificats de dépôts marché monétaire,476 000,638 000
"",,
Dettes rattachées,78 363,94 483
"",,
Autres sommes dues,478 708,435 804
"",,
Total,17 166 843,16 220 062
"",,Plus,Plus d'un,,,
"",Jusqu’à 3,,,Plus de,Durée,
"",,de 3 mois et,an et moins,,,31/12/2022
"",mois,,,5 ans,Indéterminée,
"",,moins d'un an,de 5 ans,,,
Dépôts à vue,31 702,-,-,-,8 845 197,8 876 899
"",,,,,,
Dépôts d’épargne,-,-,-,-,4 160 829,4 160 829
"",,,,,,
Comptes à échéance,557 058,1 296 427,959 178,2 395,-,2 815 058
"",,,,,,
Bons à échéance,100 935,151 784,28 267,-,-,280 986
"",,,,,,
Certificats de dépôts marché monétaire,469 000,7 000,-,-,-,476 000
Dettes rattachées,29 941,46 018,2 366,34,4,78 363
"",,,,,,
Autres sommes dues,-,-,-,-,478 708,478 708
"",,,,,,
Total,1 188 636,1 501 229,989 811,2 429,13 484 738,17 166 843
"",Entreprises,Entreprises,Co-,,
"",,,,Autres,31/12/2022
"",liées,associées,entreprise,,
Dépôts à vue,426 289,-,-,8 450 610,8 876 899
"",,,,,
Dépôts d’épargne,-,-,-,4 160 829,4 160 829
"",,,,,
Comptes à échéance,32 470,-,-,2 782 588,2 815 058
"",,,,,
Bons à échéance,-,-,-,280 986,280 986
"",,,,,
Certificats de dépôts marché monétaire,196 499,-,-,279 501,476 000
"",,,,,
Dettes rattachées,920,-,-,77 443,78 363
"",,,,,
Autres sommes dues,322,-,-,478 386,478 708
"",,,,,
Total,656 500,-,-,16 510 343,17 166 843
Ressources spéciales,31/12/2022,31/12/2021
Emprunts et dettes pour ressources spéciales,32 172,33 985
Dettes rattachées sur ressources spéciales,512,475
"",,
Fonds publics,45 061,43 254
Total fonds publics et des organismes extérieurs,77 745,77 714
Emprunts subordonnés,668 819,389 831
"",,
Dettes rattachées aux emprunts,23 724,15 265
"",,
Total Emprunts et ressources spéciales,770 288,482 810
"",Solde au,Solde au
"",,
"",31/12/2021,31/12/2022
AFD,1 823,1 209
"",,
BEI,1,-
"",,
BIRD,1 817,674
"",,
CFD,2 139,1 538
"",,
ESPAGNOLE,1 275,3 790
"",,
FDCI,222,199
"",,
FONAPRA,4 228,3 593
"",,
FOPRODI,2 024,1 939
"",,
FOSDA FOSEP,98,98
"",,
PREMIER LOGEMENT,8 927,11 553
"",,
RESTRUCTURATION FINACIERE,9 554,9 743
"",,
RESTRUC. PARTICIPATIF,2 320,2 250
"",,
DOTATION COVID 19,15 880,15 685
"",,
ITL,21 722,20 190
"",,
KFW,4 271,4 049
"",,
PROPARCO,8,8
"",,
BAD,930,716
"",,
Dettes rattachées,475,511
"",,
TOTAL,77 714,77 745
"",,Plus,,,,
"",,,Plus d'un an,,,
"",Jusqu’à 3,de 3 mois,,Plus de 5,Durée,
"",,,et moins de,,,31/12/2022
"",mois,et moins,,ans,Indéterminée,
"",,,5 ans,,,
"",,d'un an,,,,
Fonds publics et des organismes extérieurs,5 234,1 015,15 554,53 999,1 943,77 745
Emprunts et dettes pour ressources spéciales,1 126,934,10 066,20 046,-,32 172
Dettes rattachées sur ressources spéciales,512,-,-,-,-,512
Fonds publics,3 596,81,5 488,33 953,1 943,45 061
"",,,,,,
Emprunts et ressources spéciales,6 511,34 310,544 064,107 658,-,692 543
Emprunts subordonnés,-,17 097,544 064,107 658,-,668 819
"",,,,,,
Dettes rattachées aux emprunts,6 511,17 213,-,-,-,23 724
"",,,,,,
Total,11 745,35 325,559 618,161 657,1 943,770 288
"",Entreprises,Entreprises,,Co-,,
"",,,,,Autres,31/12/2022
"",liées,associées,,entreprise,,
Fonds publics et des organismes extérieurs,,,,,,
"",,,,,,
Emprunts et dettes pour ressources spéciales,-,,-,-,32 172,32 172
"",,,,,,
Dettes rattachées sur ressources spéciales,-,,-,-,512,512
"",,,,,,
Fonds publics,-,,-,-,45 061,45 061
"",,,,,,
Emprunts et ressources spéciales,,,,,,
"",,,,,,
Emprunts subordonnés,223 477,,-,-,445 342,668 819
"",,,,,,
Dettes rattachées aux emprunts,4 292,,-,-,19 432,23 724
"",,31/12/2022,31/12/2021
Provisions pour passifs et charges,(1),140 135,137 162
"",,,
Comptes d'attente et de régularisation,(2),233 741,223 041
"",,,
Autres comptes,(3),221 380,98 700
"",,,
Total Autres passifs,,595 256,458 903
"",31/12/2022,31/12/2021
