"",VII-8,(36 500) (35 085),(1 415),"4,03%"
immobilisations,,,,
"",,,,
Résultat d'exploitation,,395 154 449 635,(54 481),"-12,12%"
Solde en gain/perte provenant des autres éléments,,,,
"",VII-9,263 (4 940),5 203,"-105,32%"
ordinaires,,,,
Impôt sur les bénéfices,VII-10,(84 898) (111 689),26 791,"-23,99%"
Résultat des activités ordinaires,,310 519 333 006,(22 487),"-6,75%"
Solde en gain/perte provenant des autres éléments,,,,
-  extraordinaires,VII-11,(28 677) -,(28 677),
Résultat net de l'exercice,,281 842 333 006,(51 164),"-15,36%"
Modification comptable affectant le résultat reporté,,- -,-,-
"",,,,
Résultat net de l'exercice après modifications comptables,,281 842 333 006,(51 164),"-15,36%"
"",Exercice Exercice
Note,2020  2019
"",
"",
ACTIVITE D'EXPLOITATION,
Produits d’exploitation bancaire encaissés (hors revenu du portefeuille d’investissement),1 357 443 1 397 471
Charges d’exploitation bancaire décaissées,(510 603) (558 586)
"",
Dépôts / Retraits dépôts auprès d’autres établissements bancaires et financiers,114 254 (65 573)
"",
Prêts et avances / Remboursement prêts et avances accordés à la clientèle 273 317,(1 133 510)
Dépôts / Retraits dépôts auprès de la clientèle 1 261 557,1 835 781
Sommes versées au personnel et créditeurs divers,(344 342) (347 594)
"",
Autres flux de trésorerie provenant des activités d’exploitation,16 808 (30 007)
"",
Impôts sur les sociétés,(121 633) (112 027)
"",
Flux de trésorerie provenant des activités d’exploitation,1 214 198 1 818 558
"",
"",
ACTIVITE D'INVESTISSEMENT,
Intérêts et dividendes encaissés sur portefeuille d’investissement,118 477 117 963
"",
Acquisitions / cessions sur portefeuille d’investissement (81 439),(653 127)
Acquisitions / cessions sur immobilisations (46 061),(51 859)
Flux de trésorerie net provenant des activités d’investissement,(586 509) (9 537)
"",
ACTIVITE DE FINANCEMENT,
Emission / Remboursement d’emprunts,84 046 (65 505)
"",
Augmentation / diminution ressources spéciales (3 189),3 567
Dividendes versés,- (85 000)
"",
Flux de trésorerie net provenant des activités de financement,87 613 (153 694)
"",
"",
Incidence des variations des taux de change sur les liquidités et équivalents de,
IX-1,(28 868) 137 172
liquidités,
Variation nette des liquidités et équivalents de liquidités au cours de l’exercice,686 434 1 792 499
"",
Liquidités et équivalents de liquidités en début d’exercice,1 554 697 (237 802)
Liquidités et équivalents de liquidités en fin d’exercice IX-2,2 241 131 1 554 697
"",31/12/2020,31/12/2019,Variation,En %
Encaisses,125 458,137 723,(12 265),"-8,91%"
Avoirs chez la BCT,1 619 679,1 335 072,284 607,"21,32%"
Avoirs chez la CCP,89,89,-,-
"Total Caisse et avoirs auprès de la BCT, CCP et TGT",1 745 226,1 472 884,272 342,"18,49%"
"",,31/12/2020,31/12/2019,Variation,En %
Créances sur les établissements bancaires(a),,1 101 047,1 446 722,(345 675),"-23,89%"
Créances sur les établissements financiers(b),,343 868,288 017,55 851,"19,39%"
Total Créances sur les établissements bancaires et financiers,,1 444 915,1 734 739,(289 824),"-16,71%"
"",31/12/2020,31/12/2019,Variation,En %
Comptes de prêts à la BCT,594 927,602 656,(7 729),"-1,28%"
Comptes de prêts du marché interbancaire,436 989,783 996,(347 007),"-44,26%"
Créances rattachées sur prêts,2 605,1 804,801,"44,40%"
Comptes correspondants NOSTRI,51 314,31 463,19 851,"63,09%"
Comptes correspondants LORI,18,3 387,(3 369),"-99,47%"
Créances rattachées sur comptes correspondants,-,1,(1),"-100,00%"
Valeurs non imputées,15 194,23 415,(8 221),"-35,11%"
Total,1 101 047,1 446 722,(345 675),"-23,89%"
"",31/12/2020,31/12/2019,Variation,En %
Crédits accordés aux sociétés de leasing,259 084,171 353,87 731,"51,20%"
Crédits accordés aux autres établissements financiers,80 571,109 859,(29 288),"-26,66%"
Créances et dettes rattachées,4 213,6 805,(2 592),"-38,09%"
Total,343 868,288 017,55 851,"19,39%"
"",,31/12/2020 31/12/2019,Variation,En %
Comptes débiteurs de la clientèle,(1),1 126 265 1 297 267,(171 002),"-13,18%"
Autres crédits à la clientèle,(2),10 771 387 9 590 066,1 181 321,"12,32%"
Crédits sur ressources spéciales,(3),65 656 57 599,8 057,"13,99%"
Total,,11 963 308 10 944 932,1 018 376,"9,30%"
Provisions sur crédits à la clientèle,,(367 838) (346 120),(21 718),"6,27%"
"",,,,
Agios réservés,"4,54%",(145 418) (139 104),(6 314),
Provisions collectives,,(109 082) (70 579),(38 503),"54,55%"
"",,,,
Total Créances sur la clientèle,,11 340 970 10 389 129,951 841,"9,16%"
"",31/12/2020 31/12/2019,Variation,En %
Comptes débiteurs courants,1 048 428 1 119 216,(70 788),"-6,32%"
"",,,
Comptes débiteurs douteux,"31,72%  69 332 52 634",16 698,
Avances sur dépôts à terme,7 755 124 812,(117 057),"-93,79%"
"",,,
Créances rattachées sur comptes de la clientèle,"23,97%  750 605",145,
Total,1 126 265 1 297 267,(171 002),"-13,18%"
"",31/12/2020 31/12/2019,Variation,En %
Classe 2,8 365 8 150,215,"2,64%"
"",,,
Classe 3,"-2,88%  19 521 20 100",(579),
Classe 4,41 446 24 384,17 062,"69,97%"
"",,,
Total,69 332 52 634,16 698,"31,72%"
"",,31/12/2020,31/12/2019,Variation,En %
Autres concours courants,(a),10 086 557,8 845 094,1 241 463,"14,04%"
Autres concours douteux,(b),684 830,744 972,(60 142),"-8,07%"
Total,,10 771 387,9 590 066,1 181 321,"12,32%"
"",31/12/2020,31/12/2019,Variation,En %
Crédits commerciaux et industriels,6 461 765,5 437 587,1 024 178,"18,84%"
"Crédits immobiliers, promoteurs",71 067,89 200,(18 133),"-20,33%"
"Crédits immobiliers, acquéreurs",3 009 617,2 799 574,210 043,"7,50%"
Crédits agricoles,460 591,426 027,34 564,"8,11%"
Compte courant associés,2 900,2 900,-,"0,00%"
Portefeuille escompte,10 005 940,8 755 288,1 250 652,"14,28%"
Valeurs non imputées,1 022,370,652,"176,22%"
Créances rattachées sur autres concours courants,102 963,113 443,(10 480),"-9,24%"
Créances rattachées sur compte courant associés,793,561,232,"41,35%"
Intérêts perçus d'avance (en moins),(24 161),(24 568),407,"-1,66%"
Total autres concours courants,10 086 557,8 845 094,1 241 463,"14,04%"
"",31/12/2020,31/12/2019,Variation,En %
Classe 2,19 819,26 876,(7 057),"-26,26%"
Classe 3,46 719,63 465,(16 746),"-26,39%"
Classe 4,618 292,654 631,(36 339),"-5,55%"
Total,684 830,744 972,(60 142),"-8,07%"
"",31/12/2020,31/12/2019,Variation,En %
Crédits sur ressources spéciales courants,48 916,41 356,7 560,"18,28%"
Créances rattachées sur crédits sur ressources spéciales,226,193,33,"17,10%"
Crédits sur ressources spéciales douteux,16 514,16 050,464,"2,89%"
Total,65 656,57 599,8 057,"13,99%"
"",31/12/2020,31/12/2019,Variation,En %
Classe 2,9,34,(25),"-73,53%"
"",,,,
Classe 3,195,479,(284),"-59,29%"
"",,,,
Classe 4,16 310,15 537,773,"4,98%"
"",,,,
Total,16 514,16 050,464,"2,89%"
"",31/12/2020,31/12/2019,Variation,En %
Créances courantes hors engagements par signature,11 111 039,10 040 672,1 070 367,"10,66%"
Valeurs non imputées,1 022,370,652,"176,22%"
Créances rattachées,104 732,114 801,(10 069),"-8,77%"
Intérêts perçus d'avance (en moins),(24 161),(24 568),407,"-1,66%"
Total,11 192 632,10 131 275,1 061 357,"10,48%"
Engagements par signature courants,2 225 559,2 176 568,48 991,"2,25%"
Total,13 418 191,12 307 843,1 110 348,"9,02%"
"",31/12/2020,31/12/2019,Variation,En %
Créances douteuses hors engagements par signature,770 676,813 655,(42 979),"-5,28%"
Engagements par signature douteux,27 554,27 777,(223),"-0,80%"
Total,798 230,841 432,(43 202),"-5,13%"
"",31/12/2020,31/12/2019,Variation,En %
Classe 2,28 450,35 811,(7 361),"-20,56%"
Classe 3,67 153,86 073,(18 920),"-21,98%"
Classe 4,702 627,719 548,(16 921),"-2,35%"
Total,798 230,841 432,(43 202),"-5,13%"
"",31/12/2020,31/12/2019,Variation,En %
Agios réservés sur créances classées,137 798,131 439,6 359,"4,84%"
Provisions pour créances classées du Bilan,367 838,346 120,21 718,"6,27%"
Provisions sur engagements hors bilan,14 557,15 128,(571),"-3,77%"
Total,520 193,492 687,27 506,"5,58%"
"",31/12/2020,31/12/2019,Variation,En %
Agios réservés sur créances non classées,7 620,7 665,(45),"-0,59%"
Provision collective,109 082,70 579,38 503,"54,55%"
Total,116 702,78 244,38 458,"49,15%"
"",,31/12/2020,31/12/2019,Variation,En %
Titres de transaction,(1),5 719,67 086,(61 367),"-91,48%"
"",,,,,
Titres de placement,(2),2 303,2 304,(1),"-0,04%"
"",,,,,
Total Portefeuille-titres commercial,,8 022,69 390,(61 368),"-88,44%"
"",31/12/2020,31/12/2019,Variation,En %
Bons de trésor assimilables,315 110,378 359,(63 249),"-16,72%"
Bons de trésor à court terme,50 610,31 479,19 131,"60,77%"
Sous-total des titres de transaction en principal,365 720,409 838,(44 118),"-10,76%"
Créances et dettes rattachées,172,1 548,(1 376),"-88,89%"
Total,365 892,411 386,(45 494),"-11,06%"
"",31/12/2020,31/12/2019,Variation,En %
Titres SICAV,2 303,2 303,-,-
Créances et dettes rattachées,-,1,(1),-100%
Total,2 303,2 304,(1),-
Total des titres gardés en portefeuille,5 719,67 086,(61 367),"-91,48%"
"",,,,
2) Titres cédés à la clientèle,,,,
"",,,,
Client : Bons de trésor assimilables,309 684,330 830,(21 146),"-6,39%"
Client : Bons de trésor à court terme,50 489,13 470,37 019,"274,83%"
Total des titres cédés à la clientèle,360 173,344 300,15 873,"4,61%"
"",,,,
Total Général,365 892,411 386,(45 494),"-11,06%"
"",31/12/2020,31/12/2019,Variation,En %
Encours brut des titres d'investissement,2 662 789,2 019 075,643 714,"31,88%"
Créances rattachées sur titres d'investissements,63 142,55 010,8 132,"14,78%"
Provisions et agios réservés pour dépréciation du portefeuille d’investissement,(63 211),(56 268),(6 943),"12,34%"
Total Portefeuille d'investissement,2 662 720,2 017 817,644 903,"31,96%"
"",Variation
Nouvelles acquisitions,667 339
Remboursement des Bons de Trésor d'investissements,(103 676)
"",
Cession ou perte sur titres de participation,(4 138)
"",
Remboursement des emprunts nationaux,(8 115)
"",
Libération des fonds gérés,94 251
"",
Rétrocession ou perte sur fonds gérés (1 947),
Dotation aux provisions sur titres d'investissement,(7 076)
Reprise de provisions sur titres d'investissement,885
Intérêts réservés sur fonds gérés,(636)
Intérêts réservés sur portage,(116)
Variation des créances rattachées et de la part de dividendes dont le droit est établi et non échu,8 132
Total,644 903
"",Parts dans les Titres de
entreprises participation et Libellés Titres d’investissement,Fonds gérés titres en liées et dans Total
"",les portage
"",coentreprises
Encours brut au 31/12/2019 hors,
2 019 075 créances rattachées 1 254 639,61 108 262 131 441 197
Remboursement des Bons de Trésor (103 676),- - - (103 676)
Libérations et/ou acquisitions effectuées au,
506 815,63 696* 96 828 94 251 761 590
cours de l'année 2020 (*),
"Cessions, liquidations, remboursements ou",
"",(8 115) (789) (3 349) (1 947) (14 200)
pertes effectués au cours de l'année 2020,
Encours brut au 31/12/2020 hors,
2 662 789 créances rattachées 1 649 663,124 015 355 610 533 501
Créances rattachées sur Bons de Trésor,57 946 - - - 57 946
Créances rattachées sur portefeuille,
"",334 1 240 - 3 622 5 196
d'investissements autres que les BTA,
Provisions et agios réservés pour,
dépréciation du portefeuille,- (16 896) (30 042) (16 273) (63 211)
d'investissement,
Total portefeuille d'investissements 1 707 943,108 359 325 568 520 850 2 662 720
"",31/12/2020,31/12/2019,Variation,En %
Immobilisations incorporelles,82 647,77 452,5 195,"6,71%"
Amortissement des immobilisations incorporelles,(71 096),(67 766),(3 330),"4,91%"
Immobilisations corporelles,427 100,385 804,41 296,"10,70%"
Amortissements des immobilisations corporelles,(222 002),(208 302),(13 700),"6,58%"
Immobilisations en cours et avances,14 225,19 396,(5 171),"-26,66%"
Total Valeurs immobilisées,230 874,206 584,24 290,"11,76%"
Immobilisation,Durée d'amortissement,Taux d'amortissement
Immobilisations incorporelles,,
Logiciels,3 ans,"33,33%"
Licences,3 ans,"33,33%"
Fonds de commerce,20 ans,5%
Immobilisations corporelles,,
Bâtiments,20 et 40 ans,"5% et 2,5%"
"Installations générales, agencements et aménagement",,
"",10 ans,10%
des bâtiments,,
Equipements de bureaux,10 ans,10%
Matériel de transport,5 ans,20%
Matériel informatique,"6,67 ans",15%
Immobilisations à statut juridique particulier,10 ans,10%
"",31/12/2019,Acquisitions,Cessions ou miseReclassements en rebus,31/12/2020
Licence,27 480,4 483,- 73,32 036
Logiciels informatiques,45 535,414,- -,45 949
Fonds de commerce et droit au bail,4 437,-,- 225,4 662
Total Immobilisations incorporelles,77 452,4 897,- 298,82 647
Terrains,44 239,21 818,- -,66 057
Constructions,111 135,-,- -,111 135
"Agencement, aménagement des constructions",95 343,3 195,(29) 12 451,110 960
Immeubles en attente d’affectation,164,-,- -,164
Immobilisations à statut juridique particulier,345,-,- -,345
Mobilier de bureaux,17 718,1,(345) 2 806,20 180
Matériel informatique,52 295,1 499,(1 311) 2 267,54 750
Matériel de transport,1 299,281,(139) -,1 441
Constructions non affectées aux activités,,,,
"",5 007,-,- -,5 007
professionnelles,,,,
Installations générales des constructions,7 184,24,- 232,7 440
Matériel d’exploitation bancaire,27 090,963,(3 101) -,24 952
"Agencement, aménagement du matériel",,,,
53 d’exploitation bancaire,53,-,- -,
Equipements de bureaux,13 656,239,(260) 62,13 697
Agencement des équipements de bureaux,1 863,18,(1) -,1 880
Agencement du mobilier de bureaux,8 413,550,(97) 173,9 039
Total Immobilisations corporelles,385 804,28 588,(5 283) 17 991,427 100
Travaux en cours,18 359,13 118,- (18 289),13 188
Avances sur immobilisations en cours,1 037,-,- -,1 037
Total Brut des valeurs immobilisées,482 652,46 603,(5 283) -,523 972
"",Amort. Amort. Cumulé Régularisation,VCN au
"",Cumulé 31/12/2019 Dotation Cession et mise,
"",en rebus 31/12/2020,31/12/2020
Licence,(23 938) (2 330) - (26 268),5 768
Logiciels informatiques,(40 762) (857) - (41 619),4 330
Fonds de commerce et droit au bail,(3 066) (143) - (3 209),1 453
Total Immobilisations incorporelles,(67 766) (3 330) - (71 096),11 551
Terrains,- - -,- 66 057
Constructions,(44 511) (3 342) - (47 853),63 282
"Agencement, aménagement des constructions",(67 777) (6 410) 29 (74 158),36 802
Immeubles en attente d’affectation,- - -,- 164
Immobilisations à statut juridique particulier,(339) (1) - (340),5
Mobilier de bureaux,(11 318) (1 396) 343 (12 371),7 809
Matériel informatique,(40 186) (3 924) 1 309 (42 801),11 949
Matériel de transport,(1 107) (121) 139 (1 089),352
Constructions non affectées aux activités professionnelles,(115) (5) - (120),4 887
Installations générales des constructions,(6 497) (109) - (6 606),834
Matériel d’exploitation bancaire,(17 766) (2 535) 3 097 (17 204),7 748
"Agencement, aménagement du matériel d’exploitation",,
19 bancaire,(29) (5) - (34),
Equipements de bureaux,(10 597) (584) 255 (10 926),2 771
Agencement des équipements de bureaux,(1 537) (62) 1 (1 598),282
Agencement du mobilier de bureaux,(6 364) (474) 95 (6 743),2 296
Total Immobilisations corporelles,(208 143) (18 968) 5 268 (221 843),205 257
Travaux en cours,- - -,- 13 188
Avances sur immobilisations en cours,- - -,- 1 037
Provisions sur autres immobilisations corporelles,(159) - - (159),(159)
Total Brut des valeurs immobilisées,(276 068) (22 298) 5 268 (293 098),230 874
"",,31/12/2020,31/12/2019,Variation,En %
Comptes de régularisation,(1),110 206,98 948,11 258,"11,38%"
Autres comptes d'actifs,(2),331 485,342 275,(10 790),"-3,15%"
Total Autres actifs,,441 691,441 223,468,"0,11%"
"",31/12/2020,31/12/2019,Variation,En %
Débiteurs divers,309 920,324 434,(14 514),"-4,47%"
Comptes de stocks,4 437,3 822,615,"16,09%"
Charges à répartir,4 036,5 655,(1 619),"-28,63%"
Frais d’études,13 093,8 365,4 728,"56,52%"
Total Autres comptes d'actifs,331 485,342 275,(10 790),"-3,15%"
"",31/12/2020,31/12/2019,Variation,En %
Chèques BCT en attente de règlement,780,1 111,(331),"-29,79%"
Comptes BCT en devises,-,90,(90),"-100,00%"
Total Banque Centrale et CCP,780,1 201,(421),"-35,05%"
"",31/12/2020,31/12/2019,Variation,En %
Dépôts et avoirs des établissements bancaires,599 678,1 252 333,(652 655),"-52,12%"
Dépôts des établissements financiers,7 321,2 512,4 809,"191,44%"
Total Dépôts et avoirs des établissements bancaires et financiers,606 999,1 254 845,(647 846),"-51,63%"
"",31/12/2020,31/12/2019,Variation,En %
Emprunt en dinars auprès de la BCT,381 000,1 085 000,(704 000),"-64,88%"
Emprunt en dinars auprès des banques,47 000,40 000,7 000,"17,50%"
Dépôts des correspondants Banquiers,144 805,118 522,26 283,"22,18%"
Autres sommes dues,26 715,6 035,20 680,"342,67%"
Dettes rattachées,158,2 776,(2 618),"-94,31%"
Dépôts et avoirs des établissements bancaires,599 678,1 252 333,(652 655),"-52,12%"
"",31/12/2020,31/12/2019,Variation,En %
Dépôts à vue,7 319 353,6 243 960,1 075 393,"17,22%"
Dépôts d’épargne,3 273 193,2 852 838,420 355,"14,73%"
Comptes à échéance,2 479 192,2 316 944,162 248,"7,00%"
Bons à échéance,290 096,263 392,26 704,"10,14%"
Certificats de dépôts marché monétaire,808 000,549 000,259 000,"47,18%"
Dettes rattachées,93 176,74 959,18 217,"24,30%"
Autres sommes dues,523 821,695 731,(171 910),"-24,71%"
Total Dépôts et avoirs de la clientèle,14 786 831,12 996 824,1 790 007,"13,77%"
"",31/12/2020,31/12/2019,Variation,En %
Emprunts et dettes pour ressources spéciales,39 440,43 625,(4 185),"-9,59%"
Dettes rattachées sur ressources spéciales,110,124,(14),"-11,29%"
Fonds publics,21 120,13 419,7 701,"57,39%"
Total fonds publics et des organismes extérieurs,60 670,57 168,3 502,"6,13%"
Emprunts subordonnés,251 956,149 503,102 453,"68,53%"
Dettes rattachées aux emprunts,15 562,6 901,8 661,"125,50%"
Total Emprunts et ressources spéciales,328 188,213 572,114 616,"53,67%"
"",,,,Solde au
"",Solde au 31/12/2019,Ressources,Remboursements,
"",,,,31/12/2020
AFD,7 228,-,(2 805),4 423
"",,,,
BEI,1 461,-,(717),744
"",,,,
BIRD,4 103,-,(1 143),2 960
"",,,,
CFD,4 136,-,(999),3 137
"",,,,
ESPAGNOLE,1 076,358,(230),1 204
"",,,,
FDCI,269,-,(25),244
"",,,,
FONAPRA,5 386,279,(821),4 844
"",,,,
FOPRODI,2 243,-,(79),2 164
"",,,,
FOSDA FOSEP,154,-,-,154
"",,,,
PREMIER LOGEMENT,4 907,1 770,-,6 677
"",,,,
RESTRUCTURATION FINANCIERE,460,6 577,-,7 037
"",,,,
ITL,19 540,4 623,(2 836),21 327
"",,,,
KFW,4 715,-,(222),4 493
"",,,,
PROPARCO,8,-,-,8
"",,,,
BAD,1 358,-,(214),1 144
"",,,,
Dettes rattachées,124,110,(124),110
"",,,,
TOTAL,57 168,13 717,(10 215),60 670
*,De l’emprunt subordonné BIAT 2014 : Cet emprunt subordonné a été mis en place en Décembre
"",2014 pour un montant de 50 000 md. L'encours au 31/12/2020 de cet emprunt est de 6.350 md.
*,De l’emprunt subordonné BIAT 2016 : Cet emprunt subordonné a été mis en place en 2016 pour
"",un montant de 70 000 md. L'encours au 31/12/2020 de cet emprunt est de 27.800 md.
*,De l’emprunt subordonné BIAT 2017 : Cet emprunt subordonné a été mis en place en 2017 pour
"",un montant de 80 000 md. L'encours au 31/12/2020 de cet emprunt est de 34.200 md.
*,De l’emprunt subordonné BIAT 2018 : Cet emprunt subordonné a été mis en place en 2018 pour
"",un montant de 55 000 md. L'encours au 31/12/2020 de cet emprunt est de 34.606 md.
*,De l’emprunt subordonné BIAT 2019-1 : Cet emprunt subordonné a été mis en place en 2020
"",pour un montant de 45 000 md. L'encours au 31/12/2020 de cet emprunt est de 44.000 md.
*,De l’emprunt subordonné BIAT 2019-2 : Cet emprunt subordonné a été mis en place en 2020
"",pour un montant de 105 000 md. L'encours au 31/12/2020 de cet emprunt est de 105.000 md.
"","Ces emprunts subordonnés, qui sont pris en compte dans le calcul du ratio de solvabilité comme"
"","étant des quasi-fonds propres, serviront notamment à financer les crédits accordés à la clientèle."
*,Des ressources reçues des fonds publics et des organismes extérieurs en vue d’être utilisées par
"",la Banque pour financer les crédits à la clientèle.
"","Ces fonds ont enregistré une hausse de 3 502 mD ou 6,13 % en passant de 57 168 mD en"
"",,31/12/2020,31/12/2019,Variation,En %
Provisions pour passifs et charges,(1),103 461,100 745,2 716,"2,70%"
Comptes d'attente et de régularisation,(2),222 733,185 994,36 739,"19,75%"
Autres comptes,(3),71 500,107 007,(35 507),"-33,18%"
Total Autres passifs,,397 694,393 746,3 948,"1,00%"
"",31/12/2020,31/12/2019,Variation,En %
Provisions pour risques d'exploitation,88 905,85 617,3 288,"3,84%"
Provisions sur engagements hors bilan,14 556,15 128,(572),"-3,78%"
Total Provisions pour passifs et charges,103 461,100 745,2 716,"2,70%"
"",31/12/2020,31/12/2019,Variation,En %
Autres produits constatés d’avance,7 950,7 918,32,"0,40%"
Charges à payer,90 629,78 961,11 668,"14,78%"
Comptes d’attente à régulariser,124 153,99 115,25 038,"25,26%"
Total Comptes d'attente et de régularisation,222 733,185 994,36 739,"19,75%"
"",31/12/2020,31/12/2019,Variation,En %
"Etat, impôts et taxes",34 286,63 775,(29 489),"-46,24%"
Comptes de retenues,31 680,34 290,(2 610),"-7,61%"
Autres créditeurs divers,5 534,8 942,(3 408),"-38,11%"
Total Autres comptes,71 500,107 007,(35 507),"-33,18%"
"",Autres Capital Résultats,Résultat net,
"",Réserves capitaux,,Total
"",Social de l'exercice propres reportés,,
Soldes au 31/12/2018,170 000 512 803 3 285 537,254 765,1 223 108
Affectation du résultat,- 120 043 - 87 122,(207 165),-
Dividendes distribués,- (37 400) -,(47 600),(85 000)
"",,,
Fonds social,- 464 -,- -,464
Résultat net de l'exercice 2018,- - -,- 333 006,333 006
Solde au 31/12/2019,170 000 595 910 3 372 659,333 006,1 471 578
Affectation du résultat,- 170 000 - 163 006,(333 006),-
Augmentation de Capital * -,8 500 (8 500) -,- -,
Fonds social,506 -,- -,506
"",,,
Résultat net de l'exercice 2020,- - -,- 281 842,281 842
Solde au 31/12/2020,178 500 757 916 3 535 665,281 842,1 753 926
Réserves soumis à un régime fiscal particulier non disponibles :,55 587,mD
Réserves soumis à un régime fiscal particulier disponibles :,33 867,mD
"",,
Autres réserves,147,mD
"",,
Report à nouveau,9,mD
"",31/12/2020,31/12/2019,Variation,En %
Intérêts sur comptes ordinaires banques,262,258,4,"1,55%"
Intérêts sur comptes de prêts interbancaires,15 537,9 502,6 035,"63,51%"
Intérêts sur crédits à la clientèle,798 762,872 501,(73 739),"-8,45%"
Intérêts sur comptes débiteurs à la clientèle,131 634,140 319,(8 685),"-6,19%"
Intérêts et produits assimilés sur engagements de garantie,28 631,28 996,(365),"-1,26%"
Autres intérêts et revenus assimilés,21 971,42 208,(20 237),"-47,95%"
